usage_id,customer_id,date,gb_used,app_most_used,is_roaming,download_speed,upload_speed,data_pack_type
1,2991,2024-01-28,4.82,Instagram,False,13.51,18.88,Daily
2,1670,2024-02-15,4.43,YouTube,False,12.08,13.8,Unlimited
3,1418,2024-02-20,0.62,Instagram,False,29.8,19.07,Unlimited
4,2727,2024-01-06,3.19,YouTube,False,20.68,9.66,Daily
5,4133,2024-03-03,2.26,Instagram,False,17.24,1.39,Daily
6,2870,2024-02-22,0.72,YouTube,False,27.1,16.05,Unlimited
7,1587,2024-03-04,2.82,WhatsApp,True,28.71,2.8,Booster
8,4668,2024-02-21,1.85,WhatsApp,False,13.22,18.91,Booster
9,4403,2024-02-29,1.79,YouTube,False,20.16,6.82,Booster
10,4401,2024-02-10,0.56,YouTube,False,35.97,13.52,Booster
11,2227,2024-01-11,4.9,Netflix,False,20.6,17.08,Daily
12,3737,2024-01-04,3.66,YouTube,False,23.32,9.7,Booster
13,932,2024-01-14,1.47,Facebook,False,32.72,9.17,Daily
14,1543,2024-01-13,4.6,YouTube,False,11.16,4.54,Booster
15,1993,2024-01-15,4.75,WhatsApp,False,43.61,14.83,Unlimited
16,3707,2024-01-08,4.07,Instagram,True,18.24,7.45,Unlimited
17,4060,2024-03-28,3.33,WhatsApp,False,35.01,12.92,Booster
18,3550,2024-01-11,1.94,Facebook,False,16.27,5.69,Unlimited
19,3145,2024-03-29,2.23,Instagram,False,33.11,15.04,Daily
20,4893,2024-01-23,2.33,WhatsApp,False,15.31,14.23,Unlimited
21,1535,2024-01-07,4.75,YouTube,False,37.91,1.16,Daily
22,3137,2024-03-09,3.82,YouTube,False,7.03,2.94,Unlimited
23,4843,2024-02-01,1.53,Instagram,False,16.76,2.56,Unlimited
24,2675,2024-02-13,3.16,Netflix,False,29.24,1.66,Unlimited
25,4549,2024-01-03,3.01,Facebook,False,32.39,2.13,Unlimited
26,4927,2024-02-13,4.08,WhatsApp,True,8.63,7.18,Daily
27,4854,2024-03-09,0.57,WhatsApp,False,17.34,15.55,Unlimited
28,861,2024-02-20,3.54,Facebook,False,6.89,11.12,Unlimited
29,1553,2024-03-01,1.72,WhatsApp,False,42.05,3.02,Booster
30,4915,2024-02-20,0.74,Instagram,False,49.22,1.99,Unlimited
31,1393,2024-02-02,3.69,Netflix,False,15.62,2.98,Unlimited
32,1880,2024-01-20,1.73,Instagram,False,25.19,8.1,Daily
33,381,2024-01-30,3.68,Netflix,False,26.31,6.78,Daily
34,649,2024-02-13,0.9,YouTube,False,9.89,14.49,Unlimited
35,4342,2024-03-26,4.93,Netflix,False,34.05,12.88,Unlimited
36,3622,2024-03-26,4.04,Netflix,True,26.81,17.66,Unlimited
37,4661,2024-01-29,1.52,Netflix,False,26.66,19.02,Daily
38,3418,2024-01-21,3.73,WhatsApp,False,4.81,1.03,Booster
39,821,2024-03-22,0.77,Netflix,False,5.84,5.33,Booster
40,472,2024-02-22,3.3,Facebook,False,48.29,2.48,Daily
41,2017,2024-01-11,0.39,YouTube,False,47.11,6.83,Daily
42,122,2024-01-10,1.73,YouTube,True,2.87,12.35,Daily
43,4877,2024-02-04,4.89,WhatsApp,False,27.94,6.06,Daily
44,2796,2024-01-26,0.69,Instagram,False,5.11,4.61,Booster
45,4217,2024-02-13,3.03,Facebook,False,40.07,8.35,Daily
46,2187,2024-01-04,0.45,Instagram,False,4.36,1.33,Booster
47,2135,2024-03-14,3.38,Netflix,False,28.37,19.49,Unlimited
48,2178,2024-02-26,1.47,Instagram,False,31.72,19.37,Booster
49,2300,2024-02-08,1.62,Facebook,False,6.61,3.55,Daily
50,1384,2024-03-20,1.76,WhatsApp,False,30.53,4.6,Unlimited
51,3502,2024-02-10,1.11,WhatsApp,False,47.2,11.74,Daily
52,4143,2024-03-07,4.71,Netflix,False,6.67,6.87,Daily
53,1969,2024-03-29,4.54,Facebook,False,34.86,1.23,Booster
