recharge_id,customer_id,recharge_date,recharge_amount,plan_type,plan_name,validity_days,has_discount,payment_method
1,1074,2024-03-26,999,Monthly,₹999 Plan,56,True,Card
2,2187,2024-01-22,2999,Monthly,₹999 Plan,56,False,Wallet
3,200,2024-02-03,239,Quarterly,₹239 Plan,28,False,UPI
4,2677,2024-02-14,719,Monthly,₹239 Plan,28,False,UPI
5,3178,2024-01-20,239,Quarterly,₹2999 Plan,84,False,UPI
6,1524,2024-01-07,999,Quarterly,₹719 Plan,365,False,UPI
7,2331,2024-03-20,719,Monthly,₹2999 Plan,84,False,UPI
8,4969,2024-03-03,2999,Annual,₹2999 Plan,28,False,Wallet
9,3407,2024-01-17,719,Annual,₹239 Plan,84,False,Card
10,2068,2024-02-24,999,Annual,₹239 Plan,28,False,UPI
11,1098,2024-03-31,299,Quarterly,₹299 Plan,56,False,UPI
12,1947,2024-03-19,299,Annual,₹719 Plan,28,True,Wallet
13,3354,2024-01-14,999,Monthly,₹299 Plan,84,False,UPI
14,768,2024-01-16,719,Monthly,₹299 Plan,28,False,Card
15,3215,2024-03-24,999,Annual,₹719 Plan,365,True,UPI
16,2066,2024-03-17,2999,Monthly,₹2999 Plan,28,False,Wallet
17,3735,2024-03-29,2999,Monthly,₹2999 Plan,365,False,Wallet
18,741,2024-02-04,2999,Monthly,₹299 Plan,56,False,Netbanking
19,558,2024-01-15,239,Monthly,₹719 Plan,84,False,UPI
20,374,2024-02-26,239,Annual,₹719 Plan,365,False,UPI
21,2075,2024-03-10,999,Quarterly,₹299 Plan,56,False,UPI
22,321,2024-01-20,299,Quarterly,₹719 Plan,365,False,UPI
23,832,2024-03-31,999,Annual,₹719 Plan,84,False,UPI
24,1894,2024-02-25,999,Quarterly,₹299 Plan,56,False,Wallet
25,4833,2024-02-19,2999,Monthly,₹299 Plan,28,False,Netbanking
26,3246,2024-03-28,299,Annual,₹239 Plan,28,True,Wallet
27,2818,2024-02-02,2999,Quarterly,₹999 Plan,56,True,Card
28,1786,2024-03-19,299,Monthly,₹239 Plan,84,True,UPI
29,41,2024-01-28,2999,Monthly,₹2999 Plan,56,False,UPI
30,1940,2024-01-12,299,Annual,₹999 Plan,365,False,Card
31,3195,2024-02-20,2999,Annual,₹239 Plan,28,False,Card
32,432,2024-01-12,299,Monthly,₹719 Plan,365,False,Card
33,4977,2024-01-03,299,Annual,₹999 Plan,28,True,UPI
34,4417,2024-03-12,999,Monthly,₹999 Plan,28,True,Netbanking
35,655,2024-03-11,719,Quarterly,₹999 Plan,84,True,Wallet
36,4610,2024-03-17,2999,Annual,₹239 Plan,84,True,UPI
37,710,2024-03-20,239,Quarterly,₹299 Plan,84,False,Card
38,1083,2024-01-03,2999,Annual,₹719 Plan,365,False,UPI
39,544,2024-02-29,2999,Monthly,₹999 Plan,365,False,Netbanking
40,2194,2024-03-06,719,Annual,₹239 Plan,28,True,Netbanking
41,3269,2024-02-23,239,Quarterly,₹239 Plan,56,False,Netbanking
42,5000,2024-02-01,719,Annual,₹2999 Plan,56,True,UPI
43,4529,2024-03-12,239,Quarterly,₹239 Plan,56,False,UPI
44,2551,2024-03-31,719,Annual,₹239 Plan,365,False,Wallet
45,925,2024-03-27,239,Quarterly,₹299 Plan,56,False,Netbanking
46,791,2024-03-11,299,Quarterly,₹2999 Plan,28,True,Wallet
47,4321,2024-01-29,299,Monthly,₹719 Plan,56,False,UPI
48,1380,2024-03-07,2999,Annual,₹719 Plan,28,False,Netbanking
49,4555,2024-01-17,2999,Quarterly,₹999 Plan,365,False,UPI
50,4528,2024-01-15,999,Monthly,₹999 Plan,365,False,Wallet
51,1617,2024-03-24,2999,Annual,₹2999 Plan,28,False,Netbanking
52,3757,2024-02-05,239,Monthly,₹999 Plan,84,False,Card
53,3810,2024-02-26,719,Annual,₹239 Plan,28,False,Wallet
54,1853,2024-01-22,719,Annual,₹999 Plan,28,False,Card
55,848,2024-02-09,299,Monthly,₹719 Plan,84,False,Netbanking
56,519,2024-03-07,299,Annual,₹999 Plan,84,False,Wallet
57,2574,2024-03-10,2999,Quarterly,₹239 Plan,28,False,Wallet
58,4265,2024-03-06,299,Annual,₹299 Plan,56,True,Card
59,114,2024-03-14,239,Quarterly,₹239 Plan,365,True,Wallet
60,4008,2024-03-23,299,Monthly,₹239 Plan,56,False,Netbanking
61,2629,2024-03-17,719,Monthly,₹999 Plan,28,False,Wallet
62,1583,2024-02-07,299,Monthly,₹719 Plan,84,False,Netbanking
63,2085,2024-01-31,719,Monthly,₹239 Plan,28,False,Netbanking
64,3733,2024-03-31,999,Annual,₹999 Plan,365,False,Wallet
65,2547,2024-03-26,239,Monthly,₹999 Plan,28,False,Netbanking
66,1926,2024-03-11,999,Monthly,₹299 Plan,365,False,Card
67,2445,2024-01-14,999,Annual,₹719 Plan,365,False,UPI
68,3499,2024-01-08,999,Monthly,₹299 Plan,28,False,Netbanking
69,4567,2024-02-08,719,Monthly,₹239 Plan,84,False,Card
70,1251,2024-02-01,299,Quarterly,₹999 Plan,28,False,Wallet
71,4471,2024-03-12,999,Annual,₹2999 Plan,56,False,UPI
72,3874,2024-02-06,999,Monthly,₹2999 Plan,28,False,Wallet
73,3861,2024-01-10,239,Monthly,₹999 Plan,56,False,Card
74,4027,2024-03-26,719,Annual,₹719 Plan,365,False,Card
75,196,2024-03-23,299,Monthly,₹2999 Plan,56,False,Wallet
76,4438,2024-01-16,999,Annual,₹719 Plan,56,False,Wallet
77,2037,2024-03-22,999,Monthly,₹2999 Plan,28,False,UPI
78,4277,2024-03-17,299,Annual,₹719 Plan,28,False,Wallet
79,1275,2024-03-11,239,Quarterly,₹719 Plan,56,True,Netbanking
80,3079,2024-01-10,999,Annual,₹719 Plan,56,False,Card
81,2130,2024-03-10,999,Annual,₹719 Plan,84,False,Wallet
82,4831,2024-01-02,299,Quarterly,₹719 Plan,28,False,Card
83,2889,2024-01-16,2999,Annual,₹999 Plan,84,False,Card
84,3511,2024-02-05,2999,Quarterly,₹239 Plan,365,True,UPI
85,2357,2024-01-08,2999,Monthly,₹299 Plan,28,False,Netbanking
86,3068,2024-02-13,2999,Monthly,₹719 Plan,56,False,Wallet
87,992,2024-03-06,239,Monthly,₹999 Plan,56,False,UPI
88,1531,2024-03-18,2999,Annual,₹999 Plan,56,False,Wallet
89,4588,2024-02-24,719,Annual,₹719 Plan,56,True,UPI
90,3944,2024-03-22,2999,Annual,₹719 Plan,84,False,UPI
91,4415,2024-01-07,999,Quarterly,₹999 Plan,365,False,Wallet
92,3360,2024-01-13,299,Monthly,₹299 Plan,84,True,Netbanking
93,1998,2024-01-09,999,Annual,₹719 Plan,84,False,Card
94,564,2024-03-19,2999,Annual,₹2999 Plan,28,False,UPI
95,2673,2024-03-13,999,Monthly,₹2999 Plan,56,False,Card
96,770,2024-03-08,2999,Quarterly,₹999 Plan,84,False,Netbanking
97,162,2024-01-05,299,Annual,₹239 Plan,365,False,Netbanking
98,4202,2024-03-14,2999,Annual,₹2999 Plan,28,False,UPI
99,1619,2024-02-24,719,Annual,₹239 Plan,365,False,Netbanking
100,4130,2024-01-20,239,Monthly,₹239 Plan,84,False,UPI
101,1632,2024-03-04,2999,Annual,₹299 Plan,84,False,UPI
102,1304,2024-01-18,239,Annual,₹999 Plan,28,False,Card
103,733,2024-02-19,299,Annual,₹2999 Plan,56,False,Card
104,3105,2024-02-23,239,Quarterly,₹239 Plan,28,True,UPI
105,2075,2024-03-29,719,Quarterly,₹2999 Plan,84,False,Card
106,1762,2024-02-12,719,Annual,₹239 Plan,28,False,UPI
107,2164,2024-02-21,299,Quarterly,₹2999 Plan,28,False,Card
108,1268,2024-02-13,999,Annual,₹299 Plan,84,False,Card
109,297,2024-01-18,299,Monthly,₹299 Plan,28,False,Netbanking
110,4050,2024-01-06,999,Annual,₹239 Plan,56,False,Wallet
111,2999,2024-03-04,299,Annual,₹2999 Plan,28,False,UPI
112,1216,2024-03-22,2999,Quarterly,₹719 Plan,28,False,Wallet
113,4726,2024-02-04,299,Monthly,₹719 Plan,84,False,Card
114,3269,2024-02-17,999,Annual,₹999 Plan,84,False,Card
115,4432,2024-01-09,719,Annual,₹719 Plan,28,True,Wallet
116,442,2024-03-03,239,Monthly,₹299 Plan,84,False,Wallet
117,861,2024-03-31,239,Annual,₹719 Plan,84,False,Netbanking
118,4717,2024-03-03,239,Annual,₹999 Plan,365,False,Card
119,1021,2024-03-10,999,Annual,₹2999 Plan,365,False,Card
120,4955,2024-01-10,2999,Quarterly,₹239 Plan,28,False,UPI
121,3314,2024-02-07,719,Monthly,₹2999 Plan,56,False,Netbanking
122,2238,2024-01-17,999,Quarterly,₹239 Plan,365,False,Netbanking
123,1476,2024-03-09,2999,Quarterly,₹299 Plan,84,False,UPI
124,1299,2024-01-30,299,Quarterly,₹299 Plan,84,False,Wallet
125,3120,2024-03-04,999,Annual,₹239 Plan,365,False,Card
126,241,2024-01-21,2999,Monthly,₹999 Plan,28,False,Card
127,2738,2024-03-29,719,Quarterly,₹999 Plan,365,True,Card
128,1942,2024-03-30,239,Monthly,₹239 Plan,365,False,Card
129,4056,2024-01-12,299,Quarterly,₹719 Plan,84,False,Wallet
130,4028,2024-01-15,299,Monthly,₹999 Plan,84,False,Card
131,3645,2024-03-06,239,Monthly,₹999 Plan,365,False,Card
132,3812,2024-02-25,719,Annual,₹239 Plan,365,False,Wallet
133,1024,2024-02-10,239,Quarterly,₹239 Plan,84,False,Netbanking
134,4163,2024-01-20,2999,Quarterly,₹239 Plan,365,False,Card
135,2974,2024-01-28,999,Quarterly,₹719 Plan,56,False,Netbanking
136,449,2024-03-20,719,Quarterly,₹999 Plan,84,False,Wallet
137,2529,2024-03-01,2999,Quarterly,₹299 Plan,28,False,Netbanking
138,1419,2024-03-06,239,Annual,₹239 Plan,28,False,Netbanking
139,3391,2024-01-25,719,Monthly,₹239 Plan,56,True,UPI
140,375,2024-01-20,719,Quarterly,₹2999 Plan,365,False,Card
141,4948,2024-01-02,239,Monthly,₹999 Plan,28,False,Card
142,4379,2024-02-21,2999,Quarterly,₹719 Plan,84,False,Card
143,2515,2024-02-09,999,Annual,₹299 Plan,365,False,Wallet
144,2723,2024-01-12,299,Monthly,₹2999 Plan,56,True,Wallet
145,2984,2024-03-12,299,Quarterly,₹2999 Plan,56,False,Netbanking
146,4842,2024-03-28,999,Annual,₹239 Plan,56,False,Netbanking
147,4070,2024-03-10,999,Annual,₹239 Plan,365,False,Netbanking
148,1416,2024-02-14,299,Monthly,₹999 Plan,84,False,UPI
149,1148,2024-03-23,299,Annual,₹299 Plan,365,False,Wallet
150,77,2024-01-13,299,Annual,₹999 Plan,365,False,Netbanking
151,3640,2024-02-06,999,Quarterly,₹2999 Plan,84,False,UPI
152,2392,2024-02-27,2999,Monthly,₹239 Plan,28,False,UPI
153,1376,2024-03-17,239,Monthly,₹719 Plan,56,False,Wallet
154,2856,2024-01-17,2999,Monthly,₹2999 Plan,84,False,UPI
155,3380,2024-01-27,239,Annual,₹2999 Plan,84,False,UPI
156,53,2024-01-18,299,Monthly,₹299 Plan,56,False,Netbanking
157,1810,2024-01-21,999,Annual,₹299 Plan,56,False,UPI
158,2319,2024-01-14,299,Quarterly,₹719 Plan,84,False,Wallet
159,795,2024-01-08,2999,Quarterly,₹999 Plan,56,False,UPI
160,3507,2024-02-28,239,Monthly,₹719 Plan,28,False,Netbanking
161,3009,2024-02-29,719,Quarterly,₹999 Plan,365,False,Netbanking
162,253,2024-03-04,239,Monthly,₹239 Plan,84,True,Wallet
